"id2","variable","value","p"
301001,"Xunder_5_years",71,4.75871313672922
301001,"X5_to_9_years",127,8.51206434316354
301001,"X10_to_14_years",124,8.31099195710456
301001,"X15_to_17_years",101,6.76943699731904
301001,"X18_to_21_years",37,2.4798927613941
301001,"X22_to_24_years",30,2.01072386058981
301001,"X25_to_29_years",38,2.54691689008043
301001,"X30_to_34_years",43,2.88203753351206
301001,"X35_to_39_years",72,4.82573726541555
301001,"X40_to_44_years",135,9.04825737265416
301001,"X45_to_49_years",158,10.5898123324397
301001,"X50_to_54_years",153,10.254691689008
301001,"X55_to_59_years",146,9.78552278820375
301001,"X60_and_61_years",32,2.14477211796247
301001,"X62_to_64_years",51,3.41823056300268
301001,"X65_and_66_years",19,1.27345844504021
301001,"X67_to_69_years",34,2.27882037533512
301001,"X70_to_74_years",35,2.34584450402145
301001,"X75_to_79_years",32,2.14477211796247
301001,"X80_to_84_years",33,2.21179624664879
301001,"X85_years_and_over",21,1.40750670241287
301002,"Xunder_5_years",44,4.98866213151927
301002,"X5_to_9_years",79,8.95691609977324
301002,"X10_to_14_years",116,13.1519274376417
301002,"X15_to_17_years",50,5.66893424036281
301002,"X18_to_21_years",16,1.8140589569161
301002,"X22_to_24_years",16,1.8140589569161
301002,"X25_to_29_years",17,1.92743764172336
301002,"X30_to_34_years",21,2.38095238095238
301002,"X35_to_39_years",48,5.4421768707483
301002,"X40_to_44_years",85,9.63718820861678
301002,"X45_to_49_years",92,10.4308390022676
301002,"X50_to_54_years",78,8.84353741496599
301002,"X55_to_59_years",69,7.82312925170068
301002,"X60_and_61_years",13,1.47392290249433
301002,"X62_to_64_years",20,2.26757369614512
301002,"X65_and_66_years",10,1.13378684807256
301002,"X67_to_69_years",15,1.70068027210884
301002,"X70_to_74_years",34,3.85487528344671
301002,"X75_to_79_years",20,2.26757369614512
301002,"X80_to_84_years",19,2.15419501133787
301002,"X85_years_and_over",20,2.26757369614512
301003,"Xunder_5_years",45,3.68248772504092
301003,"X5_to_9_years",110,9.00163666121113
301003,"X10_to_14_years",103,8.42880523731588
301003,"X15_to_17_years",63,5.15548281505728
301003,"X18_to_21_years",31,2.53682487725041
301003,"X22_to_24_years",21,1.71849427168576
301003,"X25_to_29_years",37,3.0278232405892
301003,"X30_to_34_years",27,2.20949263502455
301003,"X35_to_39_years",53,4.33715220949264
301003,"X40_to_44_years",88,7.2013093289689
301003,"X45_to_49_years",136,11.1292962356792
301003,"X50_to_54_years",103,8.42880523731588
301003,"X55_to_59_years",104,8.51063829787234
301003,"X60_and_61_years",45,3.68248772504092
301003,"X62_to_64_years",35,2.86415711947627
301003,"X65_and_66_years",26,2.12765957446809
301003,"X67_to_69_years",41,3.35515548281506
301003,"X70_to_74_years",46,3.76432078559738
301003,"X75_to_79_years",35,2.86415711947627
301003,"X80_to_84_years",35,2.86415711947627
301003,"X85_years_and_over",38,3.10965630114566
301004,"Xunder_5_years",52,4.91493383742911
301004,"X5_to_9_years",78,7.37240075614367
301004,"X10_to_14_years",88,8.31758034026465
301004,"X15_to_17_years",69,6.52173913043478
301004,"X18_to_21_years",32,3.02457466918715
301004,"X22_to_24_years",21,1.98487712665406
301004,"X25_to_29_years",34,3.21361058601134
301004,"X30_to_34_years",45,4.25330812854442
301004,"X35_to_39_years",51,4.82041587901701
301004,"X40_to_44_years",82,7.75047258979206
301004,"X45_to_49_years",96,9.07372400756144
301004,"X50_to_54_years",92,8.69565217391304
301004,"X55_to_59_years",58,5.4820415879017
301004,"X60_and_61_years",18,1.70132325141777
301004,"X62_to_64_years",39,3.68620037807183
