"id2","variable","value","p"
301001,"white ",1407,92.1414538310413
301002,"white ",849,94.9664429530201
301003,"white ",1206,98.1285598047193
301004,"white ",991,90.0909090909091
302001,"white ",907,91.5237134207871
302002,"white ",1173,92.8006329113924
302003,"white ",918,92.4471299093656
303001,"white ",1286,92.7849927849928
303002,"white ",1603,94.795978710822
303003,"white ",1463,96.5039577836412
304001,"white ",1096,97.5957257346394
304002,"white ",1567,96.1939840392879
304003,"white ",1193,95.6696070569366
305001,"white ",824,94.6039035591274
305002,"white ",1099,94.253859348199
305003,"white ",1186,93.6069455406472
306011,"white ",834,95.096921322691
306012,"white ",1330,96.5166908563135
306013,"white ",1107,97.4471830985916
306021,"white ",1176,96.3144963144963
306022,"white ",919,94.9380165289256
306023,"white ",1285,98.1665393430099
306024,"white ",587,98.3249581239531
307001,"white ",979,94.8643410852713
307002,"white ",939,95.1367781155015
307003,"white ",836,92.8888888888889
307004,"white ",1123,96.4776632302406
308001,"white ",903,94.0625
308002,"white ",1483,96.2362102530824
308003,"white ",732,97.7303070761015
308004,"white ",2353,94.12
309011,"white ",1933,97.8238866396761
309012,"white ",2696,96.4579606440072
309013,"white ",1515,96.9289827255278
309021,"white ",1309,97.106824925816
309022,"white ",1789,96.1827956989247
309023,"white ",1374,98.1428571428571
309024,"white ",2451,97.1462544589774
201011,"white ",2299,90.3694968553459
201012,"white ",1295,93.7047756874096
201013,"white ",2411,90.5709992486852
201021,"white ",1436,90.3713027061045
201022,"white ",1203,88.7822878228782
201023,"white ",1845,92.3885828743115
202001,"white ",1608,90.3370786516854
202002,"white ",1283,90.1616303583978
202003,"white ",1708,90.8994145822246
203001,"white ",792,87.7076411960133
203002,"white ",1396,94.6440677966102
203003,"white ",1075,89.9581589958159
203004,"white ",855,85.6713426853707
203005,"white ",1329,92.7424982554082
204001,"white ",621,94.6646341463415
204002,"white ",746,91.421568627451
204003,"white ",1383,89.8051948051948
205001,"white ",1297,93.9174511223751
205002,"white ",1979,93.0856067732832
205003,"white ",715,84.8161328588375
206011,"white ",1394,92.624584717608
206012,"white ",1461,96.6269841269841
206013,"white ",1535,95.2824332712601
206014,"white ",1716,96.4586846543002
206021,"white ",1798,96.9795037756203
206022,"white ",1647,95.7001743172574
206031,"white ",2599,96.2949240459429
206032,"white ",1015,96.9436485195798
206033,"white ",2781,95.9627329192547
206041,"white ",1586,95.026962252846
206042,"white ",1117,95.6335616438356
206043,"white ",2437,96.5530903328051
207011,"white ",1878,96.8540484785972
207021,"white ",1652,97.7514792899408
207022,"white ",2902,96.7655885295098
207031,"white ",2694,96.0085531004989
207032,"white ",1215,96.123417721519
207033,"white ",2798,96.9172151021822
208001,"white ",1617,94.5614035087719
208002,"white ",2248,96.480686695279
208003,"white ",2082,96.1218836565097
209011,"white ",1178,92.3921568627451
209012,"white ",745,97.2584856396867
209013,"white ",555,97.7112676056338
209014,"white ",850,93.6123348017621
209031,"white ",2080,92.6090828138914
209032,"white ",1252,92.3985239852398
209033,"white ",2220,90.207232832182
209041,"white ",1681,94.5444319460068
209042,"white ",1858,93.8383838383838
210011,"white ",1212,86.3863150392017
210012,"white ",1109,92.109634551495
210021,"white ",1779,90.6265919510953
210022,"white ",1061,93.5626102292769
210023,"white ",598,90.8814589665653
210024,"white ",1241,95.4615384615385
211001,"white ",1567,88.6813808715337
211002,"white ",1199,94.3351691581432
