HOME,BMI_M,CAR_AGE,MILE_M,NOBS,BLUE,WHITE,PINK,GOVT,P_TDI,P_UI,AVG_MATH,AVG_VERBAL,SAT_TAKE,NOBS_SAT_TAKE,AVG_AP,AP_TAKE,NOBS_AP_TAKE,N_PRISONERS,av_above0_math,av_above0_read,av_va_math_elem,av_va_math_middle,av_va_read_elem,av_va_read_middle,va_read,va_math,population,over_18,PROPORTION_PRISONERS,bg_id
1011.0,26.45,8.88,41374.0,2392.0,34.94,45.17,18.18,1.7,1.13,1.84,405.0,398.33,33.33,15.0,,13.33,15.0,39.0,0.6190476,0.3857143,-0.0284202,0.0655331,-0.1179674,0.0341798,39.0,62.0,1812,1632.0,2.39,0001011
1012.0,26.15,9.6,51192.0,2531.0,34.15,47.56,16.16,2.13,1.22,1.42,,,21.05,19.0,,5.26,19.0,51.0,0.5,0.4561403,-0.0351942,0.0791408,-0.071747,0.0905179,46.0,50.0,752,577.0,8.84,0001012
1013.0,26.54,9.58,54646.0,4683.0,34.74,45.64,16.67,2.96,0.83,1.88,403.0,406.5,18.18,33.0,,27.27,33.0,140.0,0.4747475,0.4824561,-0.0564003,0.037879,-0.0736662,0.0636308,48.0,47.0,1289,944.0,14.83,0001013
1014.0,26.16,9.63,63485.0,4652.0,35.49,48.12,14.59,1.8,0.77,1.89,445.79,410.0,25.58,43.0,2.4,13.95,43.0,214.0,0.5348837,0.4216867,-0.0496484,0.0722448,-0.111251,0.0862167,42.0,53.0,1211,862.0,24.83,0001014
1021.0,26.14,10.57,93119.0,3863.0,34.43,49.18,15.12,1.28,0.85,2.25,402.5,398.44,27.08,48.0,2.14,35.42,48.0,130.0,0.4747475,0.368421,-0.0561532,0.0603761,-0.0898502,0.0428629,37.0,47.0,1018,713.0,18.23,0001021
1022.0,25.84,9.77,58008.0,4578.0,32.66,50.47,13.91,2.97,0.52,1.42,410.0,387.65,23.4,47.0,1.93,23.4,47.0,102.0,0.5327103,0.4285714,-0.0468043,0.0486717,-0.0746182,0.0421171,43.0,53.0,1239,960.0,10.62,0001022
1023.0,26.4,10.29,80126.0,5741.0,32.58,50.31,14.34,2.77,0.94,1.78,398.05,399.76,30.36,56.0,2.12,21.43,56.0,133.0,0.5045872,0.3589744,-0.0400623,0.0220873,-0.0853033,0.0462915,36.0,50.0,1634,1161.0,11.46,0001023
1024.0,26.05,9.72,58431.0,5177.0,34.74,47.76,15.06,2.44,0.97,1.93,421.03,412.41,27.5,40.0,2.24,17.5,40.0,136.0,0.5263158,0.3813559,-0.0427239,0.049734,-0.0930281,0.0226214,38.0,53.0,1412,999.0,13.61,0001024
2001.0,26.06,10.43,85000.0,4933.0,36.18,48.68,14.12,1.03,0.71,1.8,386.43,380.0,30.36,56.0,1.97,23.21,56.0,110.0,0.508772,0.4117647,-0.0353495,0.040601,-0.0804686,0.0520942,41.0,51.0,1546,1090.0,10.09,0002001
2002.0,26.43,8.25,41700.0,3399.0,35.76,49.25,13.06,1.93,0.35,1.68,372.22,385.0,24.14,29.0,,13.79,29.0,86.0,0.5735294,0.475,0.0029136,0.0556232,-0.0438467,0.0077745,48.0,57.0,853,661.0,13.01,0002002
2003.0,26.16,9.93,84416.0,3800.0,36.41,47.69,14.6,1.29,0.82,2.21,379.29,372.14,29.63,27.0,1.91,33.33,27.0,83.0,0.5882353,0.3921569,-0.0189041,0.0670043,-0.0747939,0.0478987,39.0,59.0,1050,735.0,11.29,0002003
2004.0,26.45,10.6,92967.0,4205.0,33.33,49.41,14.74,2.51,0.62,2.19,385.0,381.39,19.4,67.0,1.68,20.9,67.0,97.0,0.5283019,0.380531,-0.0362005,0.0542706,-0.0615528,0.0537135,38.0,53.0,1287,880.0,11.02,0002004
2005.0,26.29,9.87,59974.0,5987.0,33.02,51.35,14.22,1.41,0.99,1.97,377.89,378.16,20.0,75.0,2.03,18.67,75.0,145.0,0.522388,0.3357664,-0.0363642,0.0699606,-0.0812285,0.054767,34.0,52.0,1716,1206.0,12.02,0002005
3001.0,26.22,10.64,84996.0,2234.0,32.63,45.62,19.64,2.11,0.81,1.57,,,15.38,25.0,,7.69,25.0,82.0,0.4756097,0.4047619,-0.0581776,0.0511535,-0.0935876,0.0543819,40.0,48.0,674,480.0,17.08,0003001
3002.0,26.31,11.17,65924.0,3773.0,29.62,51.92,17.18,1.28,0.74,2.07,444.71,394.71,18.18,33.0,1.88,15.15,33.0,112.0,0.3853211,0.3650794,-0.0681022,0.0293569,-0.0861035,-0.0021512,37.0,39.0,1208,850.0,13.18,0003002
3003.0,26.05,10.27,88227.0,3195.0,30.22,52.67,15.78,1.33,0.66,1.82,401.25,398.75,25.0,24.0,2.0,29.17,24.0,93.0,0.5333334,0.3636364,-0.0504294,0.0607833,-0.0796116,0.0330238,36.0,53.0,924,673.0,13.82,0003003
