"variable","value","p","id2"
"Xunder_5_years",57448,-5.45789484184855,"All"
"X5_to_9_years",60440,-5.74215228104244,"All"
"X10_to_14_years",63824,-6.06365200505051,"All"
"X15_to_17_years",42244,-4.01342622369882,"All"
"X18_to_21_years",75847,-7.2059070823995,"All"
"X22_to_24_years",44122,-4.19184716982387,"All"
"X25_to_29_years",65799,-6.25128851655049,"All"
"X30_to_34_years",61163,-5.81084149512573,"All"
"X35_to_39_years",63730,-6.0547214571614,"All"
"X40_to_44_years",73130,-6.9477762460727,"All"
"X45_to_49_years",81300,-7.72397386579667,"All"
"X50_to_54_years",81050,-7.70022240864477,"All"
"X55_to_59_years",70634,-6.71064169786816,"All"
"X60_and_61_years",25250,-2.39889717234152,"All"
"X62_to_64_years",34705,-3.29717728182624,"All"
"X65_and_66_years",18483,-1.755992730154,"All"
"X67_to_69_years",24319,-2.31044674590786,"All"
"X70_to_74_years",31077,-2.95249613563792,"All"
"X75_to_79_years",26645,-2.5314303032491,"All"
"X80_to_84_years",24607,-2.33780842454685,"All"
"X85_years_and_over",26750,-2.5414059152529,"All"
